15 300 3180
0 0 541.275 213.805
1 0 547.112 211.188
2 0 544.433 211.478
3 0 546.404 213.735
4 0 539.951 214.756
5 0 534.928 211.064
6 0 543.6 210.239
7 0 543.005 209.921
8 0 536.645 207.498
9 0 540.708 210.465
10 0 535.802 213.546
11 0 542.542 209.578
12 0 540.765 210.338
13 0 538.497 208.323
14 0 545.164 215.165
0 1 80.3335 344.554
1 1 82.4736 344.788
2 1 80.1452 354.728
3 1 78.6788 347.828
4 1 83.2459 346.783
5 1 73.0146 346.469
6 1 75.6678 347.116
7 1 84.5298 346.926
8 1 78.0897 351.514
9 1 82.3609 345.638
10 1 78.4317 349.587
11 1 80.8569 353.631
12 1 82.8332 346.739
13 1 78.055 348.16
14 1 76.9928 351.793
0 2 118.317 319.844
1 2 117.459 316.273
2 2 125.87 319.254
3 2 117.254 320.784
4 2 119.289 322.341
5 2 121.885 318.516
6 2 121.516 322.386
7 2 121.214 322.843
8 2 119.028 321.335
9 2 114.466 323.777
10 2 118.782 321.872
11 2 120.758 318.273
12 2 113.066 324.445
13 2 124.641 326.26
14 2 122.42 323.319
0 3 428.057 230.308
1 3 427.452 232.102
2 3 423.869 234.263
3 3 427.407 234.328
4 3 428.543 233.146
5 3 426.684 229.63
6 3 430.993 228.277
7 3 428.945 233.766
8 3 422.713 232.244
9 3 429.093 237.656
10 3 428.391 231.011
11 3 429.058 231.999
12 3 427.413 233.247
13 3 428.446 230.652
14 3 423.483 238.03
0 5 485.491 271.578
1 5 485.524 279.95
2 5 485.08 276.654
3 5 486.272 276.757
4 5 484.24 277.245
5 5 488.978 272.696
6 5 485.304 275.262
7 5 485.476 271.265
8 5 488.769 272.348
9 5 484.018 273.452
10 5 486.766 276.429
11 5 485.866 271.612
12 5 485.584 273.661
13 5 488.893 274.196
14 5 487.619 273.281
0 7 602.051 124.654
1 7 601.174 126.845
2 7 594.201 131.281
3 7 606.543 128.19
4 7 607.441 122.752
5 7 603.447 131.733
6 7 599.111 128.271
7 7 603.258 127.962
8 7 599.242 127.025
9 7 602.789 132.11
10 7 600.644 119.441
11 7 602.323 127.618
12 7 604.526 134.977
13 7 600.265 129.584
14 7 598.22 129.386
0 9 40.8962 401.048
1 9 43.1542 406.661
2 9 45.8668 395.98
3 9 46.8672 399.577
4 9 41.7364 401.761
5 9 52.2109 401.585
6 9 50.9205 397.721
7 9 50.8484 396.08
8 9 50.068 395.424
9 9 50.7488 402.436
10 9 50.112 394.699
11 9 48.2293 399.689
12 9 44.1718 401.925
13 9 38.2108 400.601
14 9 47.874 397.289
0 10 417.13 335.726
1 10 417.956 337.52
2 10 418.123 339.979
3 10 414.886 334.915
4 10 418.226 333.59
5 10 420.683 340.211
6 10 413.501 336.396
7 10 413.594 336.576
8 10 417.611 337.666
9 10 420.8 334.012
10 10 413.188 332.261
11 10 412.909 337.594
12 10 419.952 335.25
13 10 417.01 337.394
14 10 419.211 336.157
0 11 340.458 281.27
1 11 343.552 282.432
2 11 343.496 276.272
3 11 339.432 282.95
4 11 341.225 281.062
5 11 341.2 284.672
6 11 343.18 283.144
7 11 341.99 278.256
8 11 344.119 281.636
9 11 339.97 282.135
10 11 342.2 284.351
11 11 335.614 279.776
12 11 345.408 280.572
13 11 344.673 286.218
14 11 343.955 278.449
